;date;net_revenue;diff_net_revenue
0;07/01/2013;2310;0.0
1;14/01/2013;12342;10032.0
2;21/01/2013;25807;13465.0
3;28/01/2013;35713;9906.0
4;04/02/2013;41898;6185.0
5;11/02/2013;44234;2336.0
6;18/02/2013;49658;5424.0
7;25/02/2013;54130;4472.0
8;04/03/2013;59368;5238.0
9;11/03/2013;57970;-1398.0
10;18/03/2013;63673;5703.0
11;25/03/2013;65516;1843.0
12;01/04/2013;62242;-3274.0
13;08/04/2013;70115;7873.0
14;15/04/2013;75005;4890.0
15;22/04/2013;77108;2103.0
16;29/04/2013;75599;-1509.0
17;06/05/2013;89753;14154.0
18;13/05/2013;81389;-8364.0
19;20/05/2013;87671;6282.0
20;27/05/2013;83600;-4071.0
21;03/06/2013;91485;7885.0
22;10/06/2013;100459;8974.0
23;17/06/2013;101604;1145.0
24;24/06/2013;101093;-511.0
25;01/07/2013;112112;11019.0
26;08/07/2013;104760;-7352.0
27;15/07/2013;99435;-5325.0
28;22/07/2013;96953;-2482.0
29;29/07/2013;100158;3205.0
30;05/08/2013;108571;8413.0
31;12/08/2013;107922;-649.0
32;19/08/2013;106660;-1262.0
33;26/08/2013;111579;4919.0
34;02/09/2013;130741;19162.0
35;09/09/2013;131027;286.0
36;16/09/2013;134478;3451.0
37;23/09/2013;134561;83.0
38;30/09/2013;145789;11228.0
39;07/10/2013;152653;6864.0
40;14/10/2013;147146;-5507.0
41;21/10/2013;150206;3060.0
42;28/10/2013;152668;2462.0
43;04/11/2013;164988;12320.0
44;11/11/2013;170725;5737.0
45;18/11/2013;181740;11015.0
46;25/11/2013;178240;-3500.0
47;02/12/2013;182527;4287.0
48;09/12/2013;176678;-5849.0
49;16/12/2013;181462;4784.0
50;23/12/2013;96431;-85031.0
51;30/12/2013;323891;227460.0
52;06/01/2014;216515;-107376.0
53;13/01/2014;222933;6418.0
54;20/01/2014;222056;-877.0
55;27/01/2014;217735;-4321.0
56;03/02/2014;230726;12991.0
57;10/02/2014;220863;-9863.0
58;17/02/2014;208488;-12375.0
59;24/02/2014;226359;17871.0
60;03/03/2014;235228;8869.0
61;10/03/2014;230762;-4466.0
62;17/03/2014;201476;-29286.0
63;24/03/2014;203076;1600.0
64;31/03/2014;231120;28044.0
65;07/04/2014;240049;8929.0
66;14/04/2014;231014;-9035.0
67;21/04/2014;226381;-4633.0
68;28/04/2014;207354;-19027.0
69;05/05/2014;231428;24074.0
70;12/05/2014;197835;-33593.0
71;19/05/2014;186980;-10855.0
72;26/05/2014;201924;14944.0
73;02/06/2014;215724;13800.0
74;09/06/2014;201287;-14437.0
75;16/06/2014;194829;-6458.0
76;23/06/2014;192086;-2743.0
77;30/06/2014;196709;4623.0
78;07/07/2014;189144;-7565.0
79;14/07/2014;170156;-18988.0
80;21/07/2014;163467;-6689.0
81;28/07/2014;169766;6299.0
82;04/08/2014;170872;1106.0
83;11/08/2014;163821;-7051.0
84;18/08/2014;168223;4402.0
85;25/08/2014;172959;4736.0
86;01/09/2014;177858;4899.0
87;08/09/2014;185235;7377.0
88;15/09/2014;182024;-3211.0
89;22/09/2014;171979;-10045.0
90;29/09/2014;186630;14651.0
91;06/10/2014;183516;-3114.0
92;13/10/2014;171050;-12466.0
93;20/10/2014;168858;-2192.0
94;27/10/2014;179234;10376.0
95;03/11/2014;186956;7722.0
96;10/11/2014;191633;4677.0
97;17/11/2014;174398;-17235.0
98;24/11/2014;177092;2694.0
99;01/12/2014;196323;19231.0
100;08/12/2014;194834;-1489.0
101;15/12/2014;152864;-41970.0
102;22/12/2014;123616;-29248.0
103;29/12/2014;194073;70457.0
104;05/01/2015;193201;-872.0
105;12/01/2015;183041;-10160.0
106;19/01/2015;205841;22800.0
107;26/01/2015;207919;2078.0
108;02/02/2015;220871;12952.0
109;09/02/2015;201821;-19050.0
110;16/02/2015;191870;-9951.0
111;23/02/2015;206988;15118.0
112;02/03/2015;224142;17154.0
113;09/03/2015;209760;-14382.0
114;16/03/2015;212888;3128.0
115;23/03/2015;203349;-9539.0
116;30/03/2015;210214;6865.0
117;06/04/2015;174607;-35607.0
118;13/04/2015;182827;8220.0
119;20/04/2015;195807;12980.0
120;27/04/2015;206157;10350.0
121;04/05/2015;212097;5940.0
122;11/05/2015;206203;-5894.0
123;18/05/2015;176810;-29393.0
124;25/05/2015;198653;21843.0
125;01/06/2015;197455;-1198.0
126;08/06/2015;189076;-8379.0
127;15/06/2015;198341;9265.0
128;22/06/2015;192227;-6114.0
129;29/06/2015;202910;10683.0
130;06/07/2015;185586;-17324.0
131;13/07/2015;176928;-8658.0
132;20/07/2015;177844;916.0
133;27/07/2015;191343;13499.0
134;03/08/2015;175846;-15497.0
135;10/08/2015;170926;-4920.0
136;17/08/2015;193711;22785.0
137;24/08/2015;179165;-14546.0
138;31/08/2015;206890;27725.0
139;07/09/2015;221975;15085.0
140;14/09/2015;219729;-2246.0
141;21/09/2015;193416;-26313.0
142;28/09/2015;208583;15167.0
143;05/10/2015;244582;35999.0
144;12/10/2015;222744;-21838.0
145;19/10/2015;200860;-21884.0
146;26/10/2015;181387;-19473.0
147;02/11/2015;268920;87533.0
148;09/11/2015;232092;-36828.0
149;16/11/2015;222652;-9440.0
150;23/11/2015;245756;23104.0
151;30/11/2015;265797;20041.0
152;07/12/2015;261247;-4550.0
153;14/12/2015;216590;-44657.0
154;21/12/2015;147896;-68694.0
